GEOID,NAME,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
6041,Marin,1,1,4,3,7,4,10,12,4,9,5,13,7,2,5,4,6
48381,Randall,3,0,5,4,13,9,15,13,11,12,11,4,13,12,9,13,14
19181,Warren,2,3,0,3,9,8,17,9,17,9,10,9,11,13,10,10,10
48099,Coryell,3,2,6,1,8,5,11,22,4,8,9,8,16,14,12,13,20
13053,Chattahoochee,2,0,3,0,5,5,6,11,10,7,9,11,7,10,2,6,3
41047,Marion,0,5,5,4,26,19,16,20,15,25,14,17,7,11,21,18,29
55079,Milwaukee,3,1,1,3,8,7,14,11,18,10,8,7,10,6,7,8,13
27139,Scott,1,4,2,1,10,5,14,13,15,16,5,6,4,7,4,9,16
39129,Pickaway,3,0,4,2,6,3,6,7,10,12,5,9,4,14,2,9,5
8014,Broomfield,2,2,3,2,3,2,7,2,6,8,0,5,3,3,8,3,5
20149,Pottawatomie,1,2,1,2,12,7,15,10,7,5,4,4,5,11,5,10,4
26075,Jackson,1,2,2,3,8,6,8,11,20,7,5,5,10,11,3,8,10
48091,Comal,3,2,6,3,8,9,17,16,9,17,15,8,21,9,9,5,20
51610,Falls Church,1,0,2,1,6,4,7,9,9,7,4,11,8,6,5,8,11
12081,Manatee,0,0,0,0,0,0,1,0,0,0,2,1,2,4,0,1,0
21117,Kenton,3,0,4,2,8,5,5,7,16,12,9,9,6,14,2,10,9
17037,DeKalb,3,1,1,3,11,6,10,9,14,9,3,7,7,7,3,5,6
47073,Hawkins,1,0,1,1,0,1,5,6,7,8,2,6,2,3,1,2,1
22055,Lafayette,0,0,2,0,1,0,0,4,2,0,4,4,2,5,1,2,4
16069,Nez Perce,2,3,3,1,16,10,12,15,14,15,9,9,5,9,17,11,28
6055,Napa,2,4,6,4,19,17,16,21,17,31,11,19,11,9,16,17,22
19061,Dubuque,2,2,1,3,12,3,14,8,15,7,4,5,7,9,8,8,9
39139,Richland,2,0,3,2,7,9,8,9,12,5,9,8,6,13,5,10,4
39169,Wayne,2,0,5,2,4,5,9,10,13,6,9,7,6,11,5,10,4
13113,Fayette,4,1,3,3,7,6,7,11,8,5,8,7,5,13,4,8,5
48259,Kendall,3,1,6,1,7,12,17,20,5,15,16,8,21,9,9,5,21
36043,Herkimer,0,0,2,1,1,2,4,1,2,1,0,6,4,4,2,11,1
54057,Mineral,0,0,3,2,4,2,4,8,8,7,3,6,6,9,1,7,3
6089,Shasta,0,2,6,3,19,15,25,17,15,32,12,17,13,13,8,15,16
22113,Vermilion,0,0,0,0,0,0,0,2,2,0,3,3,2,2,0,1,0
22087,St. Bernard,0,0,1,0,0,0,0,4,0,1,1,0,1,0,0,0,1
47009,Blount,1,0,3,0,0,0,4,6,7,8,3,5,2,4,0,3,3
45031,Darlington,1,0,2,1,4,2,5,8,9,5,4,8,6,10,1,3,4
6053,Monterey,1,1,1,5,5,4,4,9,2,9,1,3,5,1,1,0,1
29165,Platte,3,2,1,2,15,5,15,17,11,14,8,9,9,17,8,15,7
29021,Buchanan,3,2,1,2,13,5,13,15,7,10,7,5,8,17,4,11,4
1083,Limestone,5,1,5,1,5,3,6,8,7,14,12,6,8,11,3,7,7
39123,Ottawa,2,0,0,3,4,8,5,11,10,0,6,6,7,7,2,8,6
24013,Carroll,1,0,2,1,3,3,6,4,8,2,4,8,4,5,2,7,8
54029,Hancock,3,0,3,2,3,1,7,9,14,6,3,7,4,6,4,7,5
29051,Cole,3,1,1,1,11,7,9,15,12,7,10,9,8,12,9,13,6
26021,Berrien,3,0,2,3,7,6,9,13,12,8,6,6,6,7,7,8,10
17163,St. Clair,2,3,1,0,11,9,12,8,15,8,9,8,6,12,5,8,3
37003,Alexander,0,0,2,3,7,1,5,7,7,9,4,7,4,8,4,3,3
34009,Cape May,1,0,2,1,8,9,6,9,2,7,1,14,6,5,5,7,5
48257,Kaufman,3,1,5,3,7,9,10,25,5,15,16,8,12,10,12,11,18
4013,Maricopa,1,3,5,3,23,17,19,13,15,18,8,14,13,13,11,19,12
48251,Johnson,4,1,5,1,11,10,9,23,4,11,17,8,13,13,15,14,25
36113,Warren,0,0,2,3,4,5,7,5,4,2,2,9,6,7,4,15,6
13015,Bartow,1,1,3,1,4,3,5,10,6,11,7,4,4,8,4,5,3
12069,Lake,1,0,0,0,0,0,3,3,2,0,1,3,3,5,0,1,2
20091,Johnson,3,1,1,2,14,3,12,14,9,10,4,6,9,17,7,13,7
24009,Calvert,1,0,2,1,8,4,2,9,5,1,2,13,7,3,2,1,2
35043,Sandoval,0,1,2,2,9,15,15,11,11,10,2,9,6,5,6,8,2
41043,Linn,0,3,2,3,27,17,16,19,15,24,15,14,8,10,20,14,27
13139,Hall,1,0,3,1,6,1,3,8,5,13,4,3,2,9,2,6,3
42037,Columbia,0,0,4,3,4,2,7,8,7,1,1,8,5,5,4,9,8
39023,Clark,3,0,4,2,8,7,8,8,15,10,6,10,5,19,6,13,6
4019,Pima,0,1,3,2,17,14,19,8,14,15,7,16,14,10,9,16,10
34005,Burlington,1,0,2,2,3,8,10,8,6,3,3,12,6,6,5,12,5
18127,Porter,2,0,2,3,6,5,7,12,12,8,6,4,5,8,7,5,6
12103,Pinellas,0,1,0,0,0,1,0,2,1,0,1,4,3,1,0,2,0
51770,Roanoke,1,0,3,1,10,3,5,11,11,16,10,13,6,7,4,11,5
48037,Bowie,4,1,3,1,4,4,7,17,5,10,9,6,13,8,11,8,12
49057,Weber,2,5,5,3,14,11,15,11,18,20,9,15,7,10,7,8,9
36045,Jefferson,0,0,2,1,1,6,2,1,5,1,2,4,3,4,1,4,3
19113,Linn,2,2,1,4,9,4,17,8,19,10,5,8,3,10,10,11,12
13215,Muscogee,2,0,3,0,5,5,5,10,8,7,8,10,5,9,1,6,2
39109,Miami,3,0,2,3,7,7,6,7,14,8,5,7,2,10,6,7,4
48375,Potter,2,0,4,4,11,8,15,16,11,14,10,9,13,12,8,13,14
45003,Aiken,2,0,2,0,1,0,6,11,5,4,5,6,4,10,0,4,3
51550,Chesapeake,1,0,2,1,3,1,0,5,2,4,3,10,8,1,0,5,2
55089,Ozaukee,2,1,1,3,9,8,12,11,16,7,9,8,6,3,6,6,12
47163,Sullivan,1,0,1,1,2,1,6,6,6,8,2,5,2,3,0,2,1
45059,Laurens,0,0,2,1,2,0,4,6,6,5,4,6,2,8,0,3,2
55117,Sheboygan,1,1,1,3,10,7,14,11,16,9,8,8,7,3,6,7,13
25013,Hampden,1,0,2,2,1,7,6,3,5,1,1,10,5,5,4,13,3
48055,Caldwell,3,2,6,3,10,8,16,15,10,15,16,10,19,7,12,14,20
42011,Berks,2,0,4,2,4,3,9,7,6,4,1,9,6,6,1,9,3
47019,Carter,1,0,2,1,2,1,6,7,7,10,3,6,2,6,2,2,3
47179,Washington,1,0,1,1,2,1,6,8,7,12,3,6,3,5,2,4,2
51093,Isle of Wight,1,0,3,2,3,3,2,6,2,5,6,12,9,5,4,9,4
22047,Iberville,0,0,1,0,0,0,1,4,4,0,2,3,1,4,0,1,3
51061,Fauquier,1,0,2,2,5,5,7,8,9,6,1,13,5,8,1,8,6
51750,Radford,0,0,3,1,9,2,5,10,9,15,9,11,5,7,2,10,3
32005,Douglas,3,6,4,3,18,8,16,11,16,32,9,21,9,3,13,13,15
55131,Washington,1,1,1,3,10,7,11,11,16,9,8,8,8,2,6,5,9
42085,Mercer,2,0,3,2,3,1,8,9,11,3,4,9,9,13,6,9,7
5031,Craighead,4,2,2,1,9,10,13,17,9,20,12,12,8,12,10,7,6
12101,Pasco,1,0,0,0,0,0,0,4,1,0,1,4,4,2,0,1,0
12119,Sumter,1,0,0,0,0,0,3,3,2,0,1,3,3,5,0,2,0
36059,Nassau,1,0,2,2,4,7,7,3,4,2,1,12,7,3,5,8,3
18163,Vanderburgh,3,1,2,0,6,7,13,7,14,7,6,5,3,8,4,9,3
54107,Wood,3,0,3,1,3,4,4,7,12,6,2,8,3,6,2,9,6
45063,Lexington,0,0,1,0,1,0,4,12,8,7,4,4,3,11,1,4,4
24003,Anne Arundel,1,0,1,1,5,4,1,4,4,2,2,8,3,1,1,2,0
55039,Fond du Lac,1,1,1,3,14,9,12,8,17,13,8,9,10,4,6,8,18
25003,Berkshire,1,0,2,3,4,4,8,1,3,2,2,10,4,10,4,11,4
34023,Middlesex,1,0,2,3,3,9,9,6,8,4,3,12,5,7,6,13,3
25005,Bristol,1,0,1,2,3,2,5,3,3,4,3,11,2,5,1,15,10
42107,Schuylkill,0,0,4,3,4,2,7,8,7,1,1,9,3,4,2,9,9
37045,Cleveland,0,0,1,2,4,1,3,4,4,7,3,5,4,8,1,1,2
24021,Frederick,1,0,2,1,3,3,6,4,8,2,4,8,4,5,2,6,8
35013,Do̱a Ana,0,1,5,1,11,18,19,11,8,9,5,11,12,9,6,10,2
6095,Solano,4,4,8,4,26,26,23,30,13,22,15,24,17,15,14,10,15
12117,Seminole,2,0,0,0,2,3,4,5,2,0,3,6,5,4,1,2,3
28035,Forrest,1,0,1,0,0,1,2,8,3,3,5,6,2,7,1,3,2
26065,Ingham,1,2,2,3,9,5,8,10,18,6,5,7,9,11,3,9,9
20177,Shawnee,2,2,1,2,10,2,14,7,7,8,7,5,7,16,6,12,3
36115,Washington,2,0,2,3,5,6,8,4,4,1,1,7,5,9,4,14,5
18081,Johnson,2,0,4,3,5,7,7,10,13,5,6,6,5,12,6,8,4
1121,Talladega,3,1,4,0,4,4,5,9,3,9,13,8,5,10,2,5,2
39041,Delaware,3,0,3,2,8,7,9,8,14,8,8,8,4,14,8,11,6
37067,Forsyth,0,0,2,1,4,2,5,7,7,9,3,5,4,4,1,8,2
32510,Carson City,3,6,5,3,23,13,17,18,19,35,17,23,13,9,14,17,20
19049,Dallas,2,1,0,0,5,5,11,9,14,7,3,4,4,6,5,6,5
45007,Anderson,0,0,2,0,5,2,3,7,6,11,5,6,1,5,0,2,2
4003,Cochise,0,1,2,2,14,16,20,7,14,12,4,14,12,11,10,11,3
6071,San Bernardino,4,7,5,4,18,26,23,15,20,21,11,22,12,13,12,12,16
31055,Douglas,2,1,1,3,8,6,10,12,12,12,9,8,7,12,9,10,6
51600,Fairfax,1,0,2,2,8,5,9,11,12,7,3,15,8,9,5,9,10
13059,Clarke,6,1,5,2,6,6,7,11,10,15,8,6,4,12,3,7,6
13077,Coweta,3,1,3,1,7,5,4,9,7,4,6,5,5,11,2,5,3
6013,Contra Costa,4,4,8,4,26,26,23,30,13,22,15,24,17,15,14,10,15
51087,Henrico,2,0,3,3,5,2,8,4,7,4,5,12,7,8,3,15,9
36119,Westchester,1,0,2,2,3,7,8,4,4,1,1,12,8,2,4,8,3
9009,New Haven,1,0,2,3,1,5,5,4,7,1,2,15,5,1,3,12,4
17091,Kankakee,2,1,2,3,6,5,9,9,15,6,2,4,4,9,3,5,7
10005,Sussex,0,0,1,1,6,3,3,7,2,3,2,14,5,2,3,2,2
20015,Butler,2,3,0,1,10,4,15,8,6,9,4,6,7,9,4,6,2
48209,Hays,3,1,6,2,9,8,16,13,7,17,13,9,20,7,10,12,21
45013,Beaufort,1,0,0,0,3,2,1,11,3,2,2,5,5,7,0,2,3
55105,Rock,2,1,1,3,12,5,10,8,15,7,4,6,6,6,5,5,6
45077,Pickens,0,0,1,0,4,1,3,6,6,11,3,5,1,3,0,1,2
28121,Rankin,1,0,2,0,4,5,2,6,3,10,6,9,5,11,2,5,3
41039,Lane,0,0,0,3,10,7,4,7,3,10,0,5,1,0,0,2,8
48485,Wichita,4,1,7,3,11,11,11,22,7,14,12,8,16,16,11,12,21
17085,Jo Daviess,2,2,1,3,11,4,14,8,15,10,6,7,7,8,9,11,9
18059,Hancock,2,0,4,3,7,9,9,12,16,9,6,8,6,13,8,9,5
48329,Midland,1,3,5,0,9,13,17,14,8,8,12,8,22,14,12,14,28
30013,Cascade,0,1,0,0,0,0,0,0,4,6,1,2,1,0,3,1,0
51660,Harrisonburg,1,0,3,3,8,7,6,10,9,11,7,17,10,9,3,11,7
17199,Williamson,3,2,3,2,10,7,15,10,13,12,8,8,9,14,8,12,9
21067,Fayette,2,0,4,2,9,4,11,8,15,12,6,12,5,9,3,10,5
42097,Northumberland,0,0,4,2,2,3,7,7,9,1,3,7,3,7,2,8,9
48469,Victoria,2,1,3,0,2,3,5,3,1,2,8,0,4,3,1,2,2
26147,St. Clair,1,0,1,4,3,4,5,11,11,3,1,4,5,0,0,0,0
20045,Douglas,3,1,1,2,14,2,14,13,10,9,6,6,9,13,6,14,4
21059,Daviess,5,1,2,1,9,7,14,8,14,12,6,7,5,9,6,13,6
29097,Jasper,3,2,3,0,11,5,7,14,8,11,9,5,9,13,10,9,7
13151,Henry,2,1,3,0,5,2,3,7,5,4,4,5,0,9,1,4,2
